x y z w
0.62495 0.37505 0.0 0.00821
0.36829 0.09778 0.53393 0.0043
0.02466 0.38239 0.59295 0.01617
0.43424 0.42995 0.13581 0.00911
0.09732 0.5116 0.39108 0.00284
0.46441 0.53559 0.0 0.00516
0.49944 0.20304 0.29752 0.01107
0.00122 0.5749 0.42388 0.0132
0.14646 0.20782 0.64571 0.01708
0.64161 0.21878 0.13961 0.00127
0.21289 0.30282 0.4843 0.00628
0.53915 0.44052 0.02033 0.01156
0.04404 0.29103 0.66493 0.01692
0.65737 0.05269 0.28995 0.01035
0.21663 0.1147 0.66868 0.0011
0.4677 0.32852 0.20377 0.00318
0.0635 0.6289 0.3076 0.00907
0.32547 0.64534 0.02919 0.01286
0.11093 0.24096 0.64811 0.01878
0.12833 0.65855 0.21312 0.00221
0.47224 0.44734 0.08042 0.02988
0.33954 0.5182 0.14227 0.00329
0.26831 0.5835 0.1482 0.0149
0.39428 0.52048 0.08523 0.01219
0.58911 0.16264 0.24825 0.01111
0.14868 0.45049 0.40083 0.00039
0.65978 0.30596 0.03426 0.00389
0.06568 0.31514 0.61918 0.02237
0.52542 0.38605 0.08853 0.00243
0.4273 0.47667 0.09603 0.00447
0.22489 0.66808 0.10704 0.00457
0.60095 0.39158 0.00747 0.01342
0.00718 0.33458 0.65824 0.02016
0.03151 0.54408 0.42441 0.00695
0.34995 0.08033 0.56972 0.00448
0.08053 0.58772 0.33175 0.01445
0.03352 0.39574 0.57073 0.00604
0.66143 0.17604 0.16253 0.01326
0.16438 0.2576 0.57802 0.02176
0.60634 0.02833 0.36532 0.01956
0.38518 0.03328 0.58154 0.00807
0.54662 0.22639 0.22699 0.00731
0.08135 0.40155 0.5171 0.01417
0.55272 0.41171 0.03557 0.00061
0.00184 0.4152 0.58296 0.00176
0.44597 0.5534 0.00063 0.00648
0.18965 0.64638 0.16396 0.00802
0.22049 0.60728 0.17223 0.00606
0.45217 0.10991 0.43792 0.00507
0.40154 0.55828 0.04017 0.02396
0.24366 0.63958 0.11675 0.03345
0.34064 0.11768 0.54168 0.00654
0.10035 0.27323 0.62641 0.00073
0.54868 0.01328 0.43803 0.00872
0.62058 0.1501 0.22932 0.01895
0.30885 0.09178 0.59937 0.01396
0.0455 0.34698 0.60752 0.0039
0.56507 0.24451 0.19042 0.01565
0.10292 0.35036 0.54671 0.01137
0.62662 0.1808 0.19257 0.00915
0.64289 0.12519 0.23192 0.01077
0.37045 0.00056 0.62899 0.02554
0.44814 0.50129 0.05058 0.00657
0.27623 0.66206 0.06171 0.03076
0.57038 0.01807 0.41155 0.02946
0.19231 0.61258 0.19511 0.02459
0.02042 0.43019 0.54939 0.01201
0.11931 0.22682 0.65387 0.00273
0.19604 0.35729 0.44668 0.01452
0.00757 0.52157 0.47085 0.01765
0.49167 0.03468 0.47365 0.01188
0.50601 0.48323 0.01076 0.02054
0.54282 0.18217 0.27501 0.00019
0.0512 0.61437 0.33443 0.0134
0.52742 0.12938 0.34321 0.02521
0.31693 0.56225 0.12082 0.01087
0.3268 0.18845 0.48475 0.02311
0.20027 0.27707 0.52266 0.01249
0.40539 0.0681 0.52651 0.02451
0.13441 0.49066 0.37493 0.02726
0.64747 0.07825 0.27428 0.04174
